mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Chinatown,place-chncl,27034,14120,12,2253,1177,14659,5110
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Downtown Crossing,place-dwnxg,67597,49984,12,5633,4165,16126,5111
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Forest Hills,place-forhl,33872,0,12,2823,0,2823,5112
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Green Street,place-grnst,7941,873,12,662,73,3412,5113
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Haymarket,place-haecl,32359,31242,12,2697,2604,14560,5115
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Jackson Square,place-jaksn,13816,2118,12,1151,177,5140,5117
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Massachusetts Ave.,place-masta,25973,18638,12,2164,1553,11059,5119
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Malden Center,place-mlmnl,619,60031,12,52,5003,1113,5121
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,North Station,place-north,28741,23631,12,2395,1969,14986,5123
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Oak Grove,place-ogmnl,0,13350,12,0,1113,0,5125
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Roxbury Crossing,place-rcmnl,8287,2870,12,691,239,5591,5126
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Ruggles,place-rugg,63489,5209,12,5291,434,10448,5128
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Stony Brook,place-sbmnl,9765,728,12,814,61,4165,5129
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,State Street,place-state,28351,48267,12,2363,4022,14467,5130
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Sullivan Square,place-sull,7716,39203,12,643,3267,10875,5131
